date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,40,0,0,0
2021-04-01,Japan,0,125,0,0,0
2021-04-01,Sweden,0,10,0,0,0
2021-04-02,Afghanistan,0,32,8,0,0
2021-04-02,Japan,0,92,33,0,0
2021-04-02,Sweden,0,9,1,0,0
2021-04-03,Afghanistan,0,21,19,0,0
2021-04-03,Japan,0,68,57,0,0
2021-04-03,Sweden,0,9,1,0,0
2021-04-04,Afghanistan,0,17,23,0,0
2021-04-04,Japan,0,56,69,0,0
2021-04-04,Sweden,0,7,3,0,0
2021-04-05,Afghanistan,0,14,26,0,0
2021-04-05,Japan,0,38,87,0,0
2021-04-05,Sweden,0,6,4,0,0
2021-04-06,Afghanistan,0,9,31,0,0
2021-04-06,Japan,0,25,100,0,0
2021-04-06,Sweden,0,6,4,0,0
2021-04-07,Afghanistan,0,8,24,6,2
2021-04-07,Japan,0,21,71,14,19
2021-04-07,Sweden,0,5,4,0,1
2021-04-08,Afghanistan,0,6,15,10,9
2021-04-08,Japan,0,17,51,27,30
2021-04-08,Sweden,0,5,4,0,1
2021-04-09,Afghanistan,0,5,12,12,11
2021-04-09,Japan,0,14,42,32,37
2021-04-09,Sweden,0,4,3,1,2
2021-04-10,Afghanistan,0,4,10,14,12
2021-04-10,Japan,0,11,27,40,47
2021-04-10,Sweden,0,3,3,1,3
2021-04-11,Afghanistan,0,4,5,16,15
2021-04-11,Japan,0,10,15,47,53
2021-04-11,Sweden,0,3,3,1,3
2021-04-12,Afghanistan,0,3,5,16,16
2021-04-12,Japan,0,7,14,49,55
2021-04-12,Sweden,0,2,3,2,3
2021-04-13,Afghanistan,0,3,3,17,17
2021-04-13,Japan,0,5,12,51,57
2021-04-13,Sweden,0,2,3,2,3
2021-04-14,Afghanistan,0,3,2,18,17
2021-04-14,Japan,0,4,10,52,59
2021-04-14,Sweden,0,1,3,3,3
2021-04-15,Afghanistan,0,3,1,18,18
2021-04-15,Japan,0,4,7,53,61
2021-04-15,Sweden,0,1,2,3,4
2021-04-16,Afghanistan,0,2,2,18,18
2021-04-16,Japan,0,4,6,54,61
2021-04-16,Sweden,0,1,2,3,4
2021-04-17,Afghanistan,0,2,1,19,18
2021-04-17,Japan,0,4,3,54,64
2021-04-17,Sweden,0,1,1,4,4
2021-04-18,Afghanistan,0,2,1,19,18
2021-04-18,Japan,0,3,2,55,65
2021-04-18,Sweden,0,1,1,4,4
2021-04-19,Afghanistan,0,2,1,19,18
2021-04-19,Japan,0,3,1,55,66
2021-04-19,Sweden,0,1,0,4,5
2021-04-20,Afghanistan,0,2,1,19,18
2021-04-20,Japan,0,2,2,55,66
2021-04-20,Sweden,0,1,0,4,5
2021-04-21,Afghanistan,0,1,1,19,19
2021-04-21,Japan,0,2,2,55,66
2021-04-21,Sweden,0,1,0,4,5
2021-04-22,Afghanistan,2,1,1,19,17
2021-04-22,Japan,4,2,2,70,47
2021-04-22,Sweden,1,1,0,4,4
2021-04-23,Afghanistan,3,1,1,25,10
2021-04-23,Japan,6,2,1,79,37
2021-04-23,Sweden,1,1,0,4,4
2021-04-24,Afghanistan,4,1,1,26,8
2021-04-24,Japan,9,2,1,83,30
2021-04-24,Sweden,2,0,1,4,3
2021-04-25,Afghanistan,4,1,1,27,7
2021-04-25,Japan,12,2,0,90,21
2021-04-25,Sweden,2,0,1,5,2
2021-04-26,Afghanistan,4,1,0,30,5
2021-04-26,Japan,12,2,0,96,15
2021-04-26,Sweden,2,0,1,5,2
2021-04-27,Afghanistan,4,1,0,31,4
2021-04-27,Japan,12,2,0,98,13
2021-04-27,Sweden,2,0,1,5,2
2021-04-28,Afghanistan,5,1,0,31,3
2021-04-28,Japan,13,1,1,99,11
2021-04-28,Sweden,2,0,1,5,2
2021-04-29,Afghanistan,5,1,0,31,3
2021-04-29,Japan,14,1,1,100,9
2021-04-29,Sweden,2,0,0,5,3
2021-04-30,Afghanistan,5,1,0,32,2
2021-04-30,Japan,15,1,1,101,7
2021-04-30,Sweden,2,0,0,6,2
2021-05-01,Afghanistan,5,1,0,32,2
2021-05-01,Japan,15,1,1,101,7
2021-05-01,Sweden,2,0,0,6,2
2021-05-02,Afghanistan,5,1,0,32,2
2021-05-02,Japan,16,1,1,103,4
2021-05-02,Sweden,2,0,0,6,2
2021-05-03,Afghanistan,5,1,0,32,2
2021-05-03,Japan,16,1,0,105,3
2021-05-03,Sweden,2,0,0,6,2
2021-05-04,Afghanistan,5,1,0,32,2
2021-05-04,Japan,16,1,0,106,2
2021-05-04,Sweden,2,0,0,7,1
2021-05-05,Afghanistan,5,1,0,32,2
2021-05-05,Japan,16,1,0,106,2
2021-05-05,Sweden,2,0,0,7,1
2021-05-06,Afghanistan,5,1,0,33,1
2021-05-06,Japan,16,1,0,106,2
2021-05-06,Sweden,2,0,0,7,1
2021-05-07,Afghanistan,5,1,0,33,1
2021-05-07,Japan,16,1,0,106,2
2021-05-07,Sweden,2,0,0,7,1
2021-05-08,Afghanistan,5,1,0,33,1
2021-05-08,Japan,16,0,1,107,1
2021-05-08,Sweden,2,0,0,7,1
2021-05-09,Afghanistan,5,1,0,33,1
2021-05-09,Japan,16,0,1,107,1
2021-05-09,Sweden,2,0,0,7,1
2021-05-10,Afghanistan,5,1,0,33,1
2021-05-10,Japan,16,0,1,108,0
2021-05-10,Sweden,2,0,0,7,1
2021-05-11,Afghanistan,5,1,0,34,0
2021-05-11,Japan,16,0,1,108,0
2021-05-11,Sweden,2,0,0,7,1
2021-05-12,Afghanistan,5,1,0,34,0
2021-05-12,Japan,16,0,1,108,0
2021-05-12,Sweden,2,0,0,7,1
2021-05-13,Afghanistan,5,1,0,34,0
2021-05-13,Japan,16,0,0,108,1
2021-05-13,Sweden,2,0,0,7,1
2021-05-14,Afghanistan,5,1,0,34,0
2021-05-14,Japan,16,0,0,108,1
2021-05-14,Sweden,2,0,0,8,0
2021-05-15,Afghanistan,5,1,0,34,0
2021-05-15,Japan,16,0,0,108,1
2021-05-15,Sweden,2,0,0,8,0
2021-05-16,Afghanistan,5,0,1,34,0
2021-05-16,Japan,16,0,0,108,1
2021-05-16,Sweden,2,0,0,8,0
2021-05-17,Afghanistan,5,0,1,34,0
2021-05-17,Japan,16,0,0,108,1
2021-05-17,Sweden,2,0,0,8,0
2021-05-18,Afghanistan,5,0,1,34,0
2021-05-18,Japan,16,0,0,108,1
2021-05-18,Sweden,2,0,0,8,0
2021-05-19,Afghanistan,5,0,1,34,0
2021-05-19,Japan,16,0,0,108,1
2021-05-19,Sweden,2,0,0,8,0
2021-05-20,Afghanistan,5,0,1,34,0
2021-05-20,Japan,16,0,0,108,1
2021-05-20,Sweden,2,0,0,8,0
2021-05-21,Afghanistan,5,0,0,35,0
2021-05-21,Japan,16,0,0,108,1
2021-05-21,Sweden,2,0,0,8,0
2021-05-22,Afghanistan,5,0,0,35,0
2021-05-22,Japan,16,0,0,108,1
2021-05-22,Sweden,2,0,0,8,0
2021-05-23,Afghanistan,5,0,0,35,0
2021-05-23,Japan,16,0,0,108,1
2021-05-23,Sweden,2,0,0,8,0
2021-05-24,Afghanistan,5,0,0,35,0
2021-05-24,Japan,16,0,0,108,1
2021-05-24,Sweden,2,0,0,8,0
2021-05-25,Afghanistan,5,0,0,35,0
2021-05-25,Japan,16,0,0,108,1
2021-05-25,Sweden,2,0,0,8,0
2021-05-26,Afghanistan,5,0,0,35,0
2021-05-26,Japan,16,0,0,108,1
2021-05-26,Sweden,2,0,0,8,0
2021-05-27,Afghanistan,5,0,0,35,0
2021-05-27,Japan,16,0,0,108,1
2021-05-27,Sweden,2,0,0,8,0
2021-05-28,Afghanistan,5,0,0,35,0
2021-05-28,Japan,16,0,0,109,0
2021-05-28,Sweden,2,0,0,8,0
2021-05-29,Afghanistan,5,0,0,35,0
2021-05-29,Japan,16,0,0,109,0
2021-05-29,Sweden,2,0,0,8,0
2021-05-30,Afghanistan,5,0,0,35,0
2021-05-30,Japan,16,0,0,109,0
2021-05-30,Sweden,2,0,0,8,0
2021-05-31,Afghanistan,5,0,0,35,0
2021-05-31,Japan,16,0,0,109,0
2021-05-31,Sweden,2,0,0,8,0
2021-06-01,Afghanistan,5,0,0,35,0
2021-06-01,Japan,16,0,0,109,0
2021-06-01,Sweden,2,0,0,8,0
2021-06-02,Afghanistan,5,0,0,35,0
2021-06-02,Japan,16,0,0,109,0
2021-06-02,Sweden,2,0,0,8,0
2021-06-03,Afghanistan,5,0,0,35,0
2021-06-03,Japan,16,0,0,109,0
2021-06-03,Sweden,2,0,0,8,0
2021-06-04,Afghanistan,5,0,0,35,0
2021-06-04,Japan,16,0,0,109,0
2021-06-04,Sweden,2,0,0,8,0
2021-06-05,Afghanistan,5,0,0,35,0
2021-06-05,Japan,16,0,0,109,0
2021-06-05,Sweden,2,0,0,8,0
2021-06-06,Afghanistan,5,0,0,35,0
2021-06-06,Japan,16,0,0,109,0
2021-06-06,Sweden,2,0,0,8,0
2021-06-07,Afghanistan,5,0,0,35,0
2021-06-07,Japan,16,0,0,109,0
2021-06-07,Sweden,2,0,0,8,0
2021-06-08,Afghanistan,5,0,0,35,0
2021-06-08,Japan,16,0,0,109,0
2021-06-08,Sweden,2,0,0,8,0
2021-06-09,Afghanistan,5,0,0,35,0
2021-06-09,Japan,16,0,0,109,0
2021-06-09,Sweden,2,0,0,8,0
2021-06-10,Afghanistan,5,0,0,35,0
2021-06-10,Japan,16,0,0,109,0
2021-06-10,Sweden,2,0,0,8,0
2021-06-11,Afghanistan,5,0,0,35,0
2021-06-11,Japan,16,0,0,109,0
2021-06-11,Sweden,2,0,0,8,0
2021-06-12,Afghanistan,5,0,0,35,0
2021-06-12,Japan,16,0,0,109,0
2021-06-12,Sweden,2,0,0,8,0
2021-06-13,Afghanistan,5,0,0,35,0
2021-06-13,Japan,16,0,0,109,0
2021-06-13,Sweden,2,0,0,8,0
2021-06-14,Afghanistan,5,0,0,35,0
2021-06-14,Japan,16,0,0,109,0
2021-06-14,Sweden,2,0,0,8,0
2021-06-15,Afghanistan,5,0,0,35,0
2021-06-15,Japan,16,0,0,109,0
2021-06-15,Sweden,2,0,0,8,0
2021-06-16,Afghanistan,5,0,0,35,0
2021-06-16,Japan,16,0,0,109,0
2021-06-16,Sweden,2,0,0,8,0
2021-06-17,Afghanistan,5,0,0,35,0
2021-06-17,Japan,16,0,0,109,0
2021-06-17,Sweden,2,0,0,8,0
2021-06-18,Afghanistan,5,0,0,35,0
2021-06-18,Japan,16,0,0,109,0
2021-06-18,Sweden,2,0,0,8,0
2021-06-19,Afghanistan,5,0,0,35,0
2021-06-19,Japan,16,0,0,109,0
2021-06-19,Sweden,2,0,0,8,0
2021-06-20,Afghanistan,5,0,0,35,0
2021-06-20,Japan,16,0,0,109,0
2021-06-20,Sweden,2,0,0,8,0
2021-06-21,Afghanistan,5,0,0,35,0
2021-06-21,Japan,16,0,0,109,0
2021-06-21,Sweden,2,0,0,8,0
2021-06-22,Afghanistan,5,0,0,35,0
2021-06-22,Japan,16,0,0,109,0
2021-06-22,Sweden,2,0,0,8,0
2021-06-23,Afghanistan,5,0,0,35,0
2021-06-23,Japan,16,0,0,109,0
2021-06-23,Sweden,2,0,0,8,0
2021-06-24,Afghanistan,5,0,0,35,0
2021-06-24,Japan,16,0,0,109,0
2021-06-24,Sweden,2,0,0,8,0
2021-06-25,Afghanistan,5,0,0,35,0
2021-06-25,Japan,16,0,0,109,0
2021-06-25,Sweden,2,0,0,8,0
2021-06-26,Afghanistan,5,0,0,35,0
2021-06-26,Japan,16,0,0,109,0
2021-06-26,Sweden,2,0,0,8,0
2021-06-27,Afghanistan,5,0,0,35,0
2021-06-27,Japan,16,0,0,109,0
2021-06-27,Sweden,2,0,0,8,0
2021-06-28,Afghanistan,5,0,0,35,0
2021-06-28,Japan,16,0,0,109,0
2021-06-28,Sweden,2,0,0,8,0
2021-06-29,Afghanistan,5,0,0,35,0
2021-06-29,Japan,16,0,0,109,0
2021-06-29,Sweden,2,0,0,8,0
2021-06-30,Afghanistan,5,0,0,35,0
2021-06-30,Japan,16,0,0,109,0
2021-06-30,Sweden,2,0,0,8,0
2021-07-01,Afghanistan,5,0,0,35,0
2021-07-01,Japan,16,0,0,109,0
2021-07-01,Sweden,2,0,0,8,0
2021-07-02,Afghanistan,5,0,0,35,0
2021-07-02,Japan,16,0,0,109,0
2021-07-02,Sweden,2,0,0,8,0
2021-07-03,Afghanistan,5,0,0,35,0
2021-07-03,Japan,16,0,0,109,0
2021-07-03,Sweden,2,0,0,8,0
2021-07-04,Afghanistan,5,0,0,35,0
2021-07-04,Japan,16,0,0,109,0
2021-07-04,Sweden,2,0,0,8,0
2021-07-05,Afghanistan,5,0,0,35,0
2021-07-05,Japan,16,0,0,109,0
2021-07-05,Sweden,2,0,0,8,0
2021-07-06,Afghanistan,5,0,0,35,0
2021-07-06,Japan,16,0,0,109,0
2021-07-06,Sweden,2,0,0,8,0
2021-07-07,Afghanistan,5,0,0,35,0
2021-07-07,Japan,16,0,0,109,0
2021-07-07,Sweden,2,0,0,8,0
2021-07-08,Afghanistan,5,0,0,35,0
2021-07-08,Japan,16,0,0,109,0
2021-07-08,Sweden,2,0,0,8,0
2021-07-09,Afghanistan,5,0,0,35,0
2021-07-09,Japan,16,0,0,109,0
2021-07-09,Sweden,2,0,0,8,0
2021-07-10,Afghanistan,5,0,0,35,0
2021-07-10,Japan,16,0,0,109,0
2021-07-10,Sweden,2,0,0,8,0
2021-07-11,Afghanistan,5,0,0,35,0
2021-07-11,Japan,16,0,0,109,0
2021-07-11,Sweden,2,0,0,8,0
2021-07-12,Afghanistan,5,0,0,35,0
2021-07-12,Japan,16,0,0,109,0
2021-07-12,Sweden,2,0,0,8,0
2021-07-13,Afghanistan,5,0,0,35,0
2021-07-13,Japan,16,0,0,109,0
2021-07-13,Sweden,2,0,0,8,0
2021-07-14,Afghanistan,5,0,0,35,0
2021-07-14,Japan,16,0,0,109,0
2021-07-14,Sweden,2,0,0,8,0
2021-07-15,Afghanistan,5,0,0,35,0
2021-07-15,Japan,16,0,0,109,0
2021-07-15,Sweden,2,0,0,8,0
2021-07-16,Afghanistan,5,0,0,35,0
2021-07-16,Japan,16,0,0,109,0
2021-07-16,Sweden,2,0,0,8,0
2021-07-17,Afghanistan,5,0,0,35,0
2021-07-17,Japan,16,0,0,109,0
2021-07-17,Sweden,2,0,0,8,0
2021-07-18,Afghanistan,5,0,0,35,0
2021-07-18,Japan,16,0,0,109,0
2021-07-18,Sweden,2,0,0,8,0
2021-07-19,Afghanistan,5,0,0,35,0
2021-07-19,Japan,16,0,0,109,0
2021-07-19,Sweden,2,0,0,8,0
2021-07-20,Afghanistan,5,0,0,35,0
2021-07-20,Japan,16,0,0,109,0
2021-07-20,Sweden,2,0,0,8,0
2021-07-21,Afghanistan,5,0,0,35,0
2021-07-21,Japan,16,0,0,109,0
2021-07-21,Sweden,2,0,0,8,0
2021-07-22,Afghanistan,5,0,0,35,0
2021-07-22,Japan,16,0,0,109,0
2021-07-22,Sweden,2,0,0,8,0
2021-07-23,Afghanistan,5,0,0,35,0
2021-07-23,Japan,16,0,0,109,0
2021-07-23,Sweden,2,0,0,8,0
2021-07-24,Afghanistan,5,0,0,35,0
2021-07-24,Japan,16,0,0,109,0
2021-07-24,Sweden,2,0,0,8,0
2021-07-25,Afghanistan,5,0,0,35,0
2021-07-25,Japan,16,0,0,109,0
2021-07-25,Sweden,2,0,0,8,0
2021-07-26,Afghanistan,5,0,0,35,0
2021-07-26,Japan,16,0,0,109,0
2021-07-26,Sweden,2,0,0,8,0
2021-07-27,Afghanistan,5,0,0,35,0
2021-07-27,Japan,16,0,0,109,0
2021-07-27,Sweden,2,0,0,8,0
2021-07-28,Afghanistan,5,0,0,35,0
2021-07-28,Japan,16,0,0,109,0
2021-07-28,Sweden,2,0,0,8,0
2021-07-29,Afghanistan,5,0,0,35,0
2021-07-29,Japan,16,0,0,109,0
2021-07-29,Sweden,2,0,0,8,0
2021-07-30,Afghanistan,5,0,0,35,0
2021-07-30,Japan,16,0,0,109,0
2021-07-30,Sweden,2,0,0,8,0
2021-07-31,Afghanistan,5,0,0,35,0
2021-07-31,Japan,16,0,0,109,0
2021-07-31,Sweden,2,0,0,8,0
2021-08-01,Afghanistan,5,0,0,35,0
2021-08-01,Japan,16,0,0,109,0
2021-08-01,Sweden,2,0,0,8,0
2021-08-02,Afghanistan,5,0,0,35,0
2021-08-02,Japan,16,0,0,109,0
2021-08-02,Sweden,2,0,0,8,0
2021-08-03,Afghanistan,5,0,0,35,0
2021-08-03,Japan,16,0,0,109,0
2021-08-03,Sweden,2,0,0,8,0
2021-08-04,Afghanistan,5,0,0,35,0
2021-08-04,Japan,16,0,0,109,0
2021-08-04,Sweden,2,0,0,8,0
2021-08-05,Afghanistan,5,0,0,35,0
2021-08-05,Japan,16,0,0,109,0
2021-08-05,Sweden,2,0,0,8,0
2021-08-06,Afghanistan,5,6,0,29,0
2021-08-06,Japan,16,14,0,95,0
2021-08-06,Sweden,2,0,0,8,0
2021-08-07,Afghanistan,5,9,1,25,0
2021-08-07,Japan,16,22,5,82,0
2021-08-07,Sweden,2,0,0,8,0
2021-08-08,Afghanistan,5,9,3,23,0
2021-08-08,Japan,16,20,12,77,0
2021-08-08,Sweden,2,1,0,7,0
2021-08-09,Afghanistan,5,6,8,21,0
2021-08-09,Japan,16,22,18,69,0
2021-08-09,Sweden,2,1,0,7,0
2021-08-10,Afghanistan,5,8,8,19,0
2021-08-10,Japan,16,21,26,62,0
2021-08-10,Sweden,2,1,0,7,0
2021-08-11,Afghanistan,5,7,9,19,0
2021-08-11,Japan,16,20,29,60,0
2021-08-11,Sweden,2,2,0,6,0
2021-08-12,Afghanistan,5,8,8,19,0
2021-08-12,Japan,16,16,30,61,2
2021-08-12,Sweden,2,1,1,6,0
2021-08-13,Afghanistan,5,9,6,19,1
2021-08-13,Japan,16,15,25,63,6
2021-08-13,Sweden,2,1,2,5,0
2021-08-14,Afghanistan,5,9,1,21,4
2021-08-14,Japan,16,14,21,64,10
2021-08-14,Sweden,2,0,3,5,0
2021-08-15,Afghanistan,5,8,2,21,4
2021-08-15,Japan,16,14,14,66,15
2021-08-15,Sweden,2,0,3,5,0
2021-08-16,Afghanistan,5,7,3,20,5
2021-08-16,Japan,16,11,14,67,17
2021-08-16,Sweden,2,1,3,4,0
2021-08-17,Afghanistan,5,7,3,20,5
2021-08-17,Japan,16,9,11,68,21
2021-08-17,Sweden,2,1,2,5,0
2021-08-18,Afghanistan,5,7,3,20,5
2021-08-18,Japan,16,5,13,68,23
2021-08-18,Sweden,2,1,1,6,0
2021-08-19,Afghanistan,5,5,5,20,5
2021-08-19,Japan,16,4,12,70,23
2021-08-19,Sweden,2,1,0,6,1
2021-08-20,Afghanistan,5,5,4,20,6
2021-08-20,Japan,16,3,12,70,24
2021-08-20,Sweden,2,1,0,6,1
2021-08-21,Afghanistan,5,4,3,22,6
2021-08-21,Japan,16,17,10,55,27
2021-08-21,Sweden,2,1,0,6,1
2021-08-22,Afghanistan,5,9,4,16,6
2021-08-22,Japan,16,23,10,48,28
2021-08-22,Sweden,2,1,0,6,1
2021-08-23,Afghanistan,5,7,7,15,6
2021-08-23,Japan,16,18,15,46,30
2021-08-23,Sweden,2,1,0,6,1
2021-08-24,Afghanistan,5,7,6,14,8
2021-08-24,Japan,16,21,18,40,30
2021-08-24,Sweden,2,2,0,5,1
2021-08-25,Afghanistan,5,9,7,11,8
2021-08-25,Japan,16,20,24,35,30
2021-08-25,Sweden,2,1,1,5,1
2021-08-26,Afghanistan,5,8,8,11,8
2021-08-26,Japan,16,21,24,34,30
2021-08-26,Sweden,2,0,2,5,1
2021-08-27,Afghanistan,5,6,9,11,9
2021-08-27,Japan,16,18,25,38,28
2021-08-27,Sweden,2,0,2,5,1
2021-08-28,Afghanistan,6,5,7,11,11
2021-08-28,Japan,18,16,19,43,29
2021-08-28,Sweden,2,0,2,5,1
2021-08-29,Afghanistan,7,6,6,13,8
2021-08-29,Japan,20,14,18,47,26
2021-08-29,Sweden,2,1,2,4,1
2021-08-30,Afghanistan,7,6,5,13,9
2021-08-30,Japan,22,8,17,50,28
2021-08-30,Sweden,2,0,2,4,2
2021-08-31,Afghanistan,7,4,5,16,8
2021-08-31,Japan,23,9,17,50,26
2021-08-31,Sweden,2,0,1,4,3
2021-09-01,Afghanistan,7,4,3,16,10
2021-09-01,Japan,23,8,16,55,23
2021-09-01,Sweden,2,0,1,4,3
2021-09-02,Afghanistan,7,4,2,17,10
2021-09-02,Japan,23,8,14,58,22
2021-09-02,Sweden,2,1,1,3,3
2021-09-03,Afghanistan,7,4,2,17,10
2021-09-03,Japan,23,6,13,58,25
2021-09-03,Sweden,2,1,1,4,2
2021-09-04,Afghanistan,7,5,2,17,9
2021-09-04,Japan,23,5,8,62,27
2021-09-04,Sweden,2,1,0,4,3
2021-09-05,Afghanistan,7,4,1,19,9
2021-09-05,Japan,23,4,8,65,25
2021-09-05,Sweden,2,1,0,4,3
2021-09-06,Afghanistan,7,3,2,19,9
2021-09-06,Japan,24,5,5,66,25
2021-09-06,Sweden,2,1,0,4,3
2021-09-07,Afghanistan,7,2,3,19,9
2021-09-07,Japan,25,5,4,68,23
2021-09-07,Sweden,2,1,0,4,3
2021-09-08,Afghanistan,7,2,3,21,7
2021-09-08,Japan,25,6,2,67,25
2021-09-08,Sweden,2,1,0,4,3
2021-09-09,Afghanistan,7,3,3,20,7
2021-09-09,Japan,25,5,2,68,25
2021-09-09,Sweden,2,1,0,4,3
2021-09-10,Afghanistan,7,3,2,21,7
2021-09-10,Japan,25,5,1,68,26
2021-09-10,Sweden,2,1,0,4,3
2021-09-11,Afghanistan,7,3,1,23,6
2021-09-11,Japan,25,4,2,68,26
2021-09-11,Sweden,2,1,0,4,3
2021-09-12,Afghanistan,7,2,1,27,3
2021-09-12,Japan,25,4,2,73,21
2021-09-12,Sweden,2,2,0,3,3
2021-09-13,Afghanistan,7,2,1,27,3
2021-09-13,Japan,26,4,2,73,20
2021-09-13,Sweden,2,1,1,3,3
2021-09-14,Afghanistan,8,2,1,27,2
2021-09-14,Japan,28,2,3,79,13
2021-09-14,Sweden,2,1,1,4,2
2021-09-15,Afghanistan,8,2,1,27,2
2021-09-15,Japan,28,1,4,79,13
2021-09-15,Sweden,2,1,1,5,1
2021-09-16,Afghanistan,8,2,1,29,0
2021-09-16,Japan,28,1,3,81,12
2021-09-16,Sweden,2,1,1,5,1
2021-09-17,Afghanistan,8,2,0,30,0
2021-09-17,Japan,28,1,3,82,11
2021-09-17,Sweden,2,1,1,5,1
2021-09-18,Afghanistan,8,2,0,30,0
2021-09-18,Japan,28,1,3,85,8
2021-09-18,Sweden,2,1,0,5,2
2021-09-19,Afghanistan,8,3,0,29,0
2021-09-19,Japan,29,0,2,88,6
2021-09-19,Sweden,3,1,0,5,1
2021-09-20,Afghanistan,8,2,1,29,0
2021-09-20,Japan,29,0,1,90,5
2021-09-20,Sweden,3,0,1,5,1
2021-09-21,Afghanistan,8,2,1,29,0
2021-09-21,Japan,29,0,1,91,4
2021-09-21,Sweden,3,0,1,5,1
2021-09-22,Afghanistan,8,2,1,29,0
2021-09-22,Japan,29,0,1,91,4
2021-09-22,Sweden,3,0,1,5,1
2021-09-23,Afghanistan,8,2,1,29,0
2021-09-23,Japan,29,0,1,93,2
2021-09-23,Sweden,3,0,1,5,1
2021-09-24,Afghanistan,8,2,1,29,0
2021-09-24,Japan,29,0,0,94,2
2021-09-24,Sweden,3,0,1,5,1
2021-09-25,Afghanistan,8,2,0,29,1
2021-09-25,Japan,29,0,0,95,1
2021-09-25,Sweden,3,0,0,6,1
2021-09-26,Afghanistan,8,1,1,29,1
2021-09-26,Japan,29,1,0,94,1
2021-09-26,Sweden,3,0,0,6,1
2021-09-27,Afghanistan,8,1,1,29,1
2021-09-27,Japan,29,1,0,94,1
2021-09-27,Sweden,3,0,0,6,1
2021-09-28,Afghanistan,8,1,1,29,1
2021-09-28,Japan,29,1,0,94,1
2021-09-28,Sweden,3,0,0,6,1
2021-09-29,Afghanistan,8,1,1,29,1
2021-09-29,Japan,29,1,0,94,1
2021-09-29,Sweden,3,0,0,6,1
2021-09-30,Afghanistan,8,1,1,29,1
2021-09-30,Japan,29,1,0,94,1
2021-09-30,Sweden,3,0,0,6,1
2021-10-01,Afghanistan,8,1,0,29,2
2021-10-01,Japan,29,1,0,94,1
2021-10-01,Sweden,3,0,0,6,1
2021-10-02,Afghanistan,8,1,0,29,2
2021-10-02,Japan,29,1,0,94,1
2021-10-02,Sweden,3,0,0,6,1
2021-10-03,Afghanistan,8,1,0,29,2
2021-10-03,Japan,29,0,1,94,1
2021-10-03,Sweden,3,0,0,7,0
2021-10-04,Afghanistan,8,1,0,29,2
2021-10-04,Japan,29,0,1,95,0
2021-10-04,Sweden,3,0,0,7,0
2021-10-05,Afghanistan,8,0,1,29,2
2021-10-05,Japan,29,0,1,95,0
2021-10-05,Sweden,3,0,0,7,0
2021-10-06,Afghanistan,8,0,1,29,2
2021-10-06,Japan,29,0,1,95,0
2021-10-06,Sweden,3,0,0,7,0
2021-10-07,Afghanistan,8,0,1,29,2
2021-10-07,Japan,29,0,1,95,0
2021-10-07,Sweden,3,0,0,7,0
2021-10-08,Afghanistan,8,0,1,29,2
2021-10-08,Japan,29,0,0,96,0
2021-10-08,Sweden,3,0,0,7,0
2021-10-09,Afghanistan,8,0,1,29,2
2021-10-09,Japan,29,0,0,96,0
2021-10-09,Sweden,3,0,0,7,0
2021-10-10,Afghanistan,8,0,0,30,2
2021-10-10,Japan,29,0,0,96,0
2021-10-10,Sweden,3,0,0,7,0
2021-10-11,Afghanistan,8,0,0,30,2
2021-10-11,Japan,29,0,0,96,0
2021-10-11,Sweden,3,0,0,7,0
2021-10-12,Afghanistan,8,0,0,30,2
2021-10-12,Japan,29,0,0,96,0
2021-10-12,Sweden,3,0,0,7,0
2021-10-13,Afghanistan,8,0,0,30,2
2021-10-13,Japan,29,0,0,96,0
2021-10-13,Sweden,3,0,0,7,0
2021-10-14,Afghanistan,8,0,0,30,2
